EventTime,EventType,Event
,AGENT_TYPE,ExchangeAgent
2020-01-13 00:00:00.000168178,WHEN_MKT_CLOSE,709
2020-01-13 00:00:00.000171866,WHEN_MKT_OPEN,1345
2020-01-13 00:00:00.000171866,WHEN_MKT_CLOSE,1345
2020-01-13 00:00:00.000173394,WHEN_MKT_OPEN,2864
2020-01-13 00:00:00.000173394,WHEN_MKT_CLOSE,2864
2020-01-13 00:00:00.000173813,WHEN_MKT_OPEN,270
2020-01-13 00:00:00.000173813,WHEN_MKT_CLOSE,270
2020-01-13 00:00:00.000174576,WHEN_MKT_OPEN,4837
2020-01-13 00:00:00.000174576,WHEN_MKT_CLOSE,4837
2020-01-13 00:00:00.000176446,WHEN_MKT_OPEN,933
2020-01-13 00:00:00.000176446,WHEN_MKT_CLOSE,933
2020-01-13 00:00:00.000183988,WHEN_MKT_OPEN,1131
2020-01-13 00:00:00.000183988,WHEN_MKT_CLOSE,1131
2020-01-13 00:00:00.000185505,WHEN_MKT_OPEN,4336
2020-01-13 00:00:00.000185505,WHEN_MKT_CLOSE,4336
2020-01-13 00:00:00.000186526,WHEN_MKT_OPEN,1498
2020-01-13 00:00:00.000186526,WHEN_MKT_CLOSE,1498
2020-01-13 00:00:00.000190930,WHEN_MKT_OPEN,4349
2020-01-13 00:00:00.000190930,WHEN_MKT_CLOSE,4349
2020-01-13 00:00:00.000191079,WHEN_MKT_OPEN,771
2020-01-13 00:00:00.000191079,WHEN_MKT_CLOSE,771
2020-01-13 00:00:00.000191698,WHEN_MKT_OPEN,3904
2020-01-13 00:00:00.000191698,WHEN_MKT_CLOSE,3904
2020-01-13 00:00:00.000194333,WHEN_MKT_OPEN,2357
2020-01-13 00:00:00.000194333,WHEN_MKT_CLOSE,2357
2020-01-13 00:00:00.000196041,WHEN_MKT_OPEN,26
2020-01-13 00:00:00.000196041,WHEN_MKT_CLOSE,26
2020-01-13 00:00:00.000197059,WHEN_MKT_OPEN,3836
2020-01-13 00:00:00.000197059,WHEN_MKT_CLOSE,3836
2020-01-13 00:00:00.000211327,WHEN_MKT_OPEN,4963
2020-01-13 00:00:00.000211327,WHEN_MKT_CLOSE,4963
2020-01-13 00:00:00.000213650,WHEN_MKT_OPEN,2670
2020-01-13 00:00:00.000213650,WHEN_MKT_CLOSE,2670
2020-01-13 00:00:00.000218079,WHEN_MKT_OPEN,2608
2020-01-13 00:00:00.000218079,WHEN_MKT_CLOSE,2608
2020-01-13 00:00:00.000223366,WHEN_MKT_OPEN,1979
2020-01-13 00:00:00.000223366,WHEN_MKT_CLOSE,1979
2020-01-13 00:00:00.000227937,WHEN_MKT_OPEN,5040
2020-01-13 00:00:00.000227937,WHEN_MKT_CLOSE,5040
2020-01-13 00:00:00.000228034,WHEN_MKT_OPEN,3570
2020-01-13 00:00:00.000228034,WHEN_MKT_CLOSE,3570
2020-01-13 00:00:00.000230146,WHEN_MKT_OPEN,3572
2020-01-13 00:00:00.000230146,WHEN_MKT_CLOSE,3572
2020-01-13 00:00:00.000232153,WHEN_MKT_OPEN,5011
2020-01-13 00:00:00.000232153,WHEN_MKT_CLOSE,5011
2020-01-13 00:00:00.000232568,WHEN_MKT_OPEN,4643
2020-01-13 00:00:00.000232568,WHEN_MKT_CLOSE,4643
2020-01-13 00:00:00.000232828,WHEN_MKT_OPEN,4575
2020-01-13 00:00:00.000232828,WHEN_MKT_CLOSE,4575
2020-01-13 00:00:00.000232981,WHEN_MKT_OPEN,212
2020-01-13 00:00:00.000232981,WHEN_MKT_CLOSE,212
2020-01-13 00:00:00.000233747,WHEN_MKT_OPEN,2216
2020-01-13 00:00:00.000233747,WHEN_MKT_CLOSE,2216
2020-01-13 00:00:00.000234809,WHEN_MKT_OPEN,2581
2020-01-13 00:00:00.000234809,WHEN_MKT_CLOSE,2581
2020-01-13 00:00:00.000237066,WHEN_MKT_OPEN,123
2020-01-13 00:00:00.000237066,WHEN_MKT_CLOSE,123
2020-01-13 00:00:00.000238593,WHEN_MKT_OPEN,2250
2020-01-13 00:00:00.000238593,WHEN_MKT_CLOSE,2250
2020-01-13 00:00:00.000240187,WHEN_MKT_OPEN,2951
2020-01-13 00:00:00.000240187,WHEN_MKT_CLOSE,2951
2020-01-13 00:00:00.000240759,WHEN_MKT_OPEN,322
2020-01-13 00:00:00.000240759,WHEN_MKT_CLOSE,322
2020-01-13 00:00:00.000248006,WHEN_MKT_OPEN,2599
2020-01-13 00:00:00.000248006,WHEN_MKT_CLOSE,2599
2020-01-13 00:00:00.000249282,WHEN_MKT_OPEN,968
2020-01-13 00:00:00.000249282,WHEN_MKT_CLOSE,968
2020-01-13 00:00:00.000252618,WHEN_MKT_OPEN,3815
2020-01-13 00:00:00.000252618,WHEN_MKT_CLOSE,3815
2020-01-13 00:00:00.000252833,WHEN_MKT_OPEN,1451
2020-01-13 00:00:00.000252833,WHEN_MKT_CLOSE,1451
2020-01-13 00:00:00.000253265,WHEN_MKT_OPEN,1729
2020-01-13 00:00:00.000253265,WHEN_MKT_CLOSE,1729
2020-01-13 00:00:00.000262560,WHEN_MKT_OPEN,5076
2020-01-13 00:00:00.000262560,WHEN_MKT_CLOSE,5076
2020-01-13 00:00:00.000263656,WHEN_MKT_OPEN,965
2020-01-13 00:00:00.000263656,WHEN_MKT_CLOSE,965
2020-01-13 00:00:00.000264391,WHEN_MKT_OPEN,200
2020-01-13 00:00:00.000264391,WHEN_MKT_CLOSE,200
2020-01-13 00:00:00.000265097,WHEN_MKT_OPEN,1319
2020-01-13 00:00:00.000265097,WHEN_MKT_CLOSE,1319
2020-01-13 00:00:00.000271622,WHEN_MKT_OPEN,4303
2020-01-13 00:00:00.000271622,WHEN_MKT_CLOSE,4303
2020-01-13 00:00:00.000273324,WHEN_MKT_OPEN,2334
2020-01-13 00:00:00.000273324,WHEN_MKT_CLOSE,2334
2020-01-13 00:00:00.000274570,WHEN_MKT_OPEN,5105
2020-01-13 00:00:00.000274570,WHEN_MKT_CLOSE,5105
2020-01-13 00:00:00.000276428,WHEN_MKT_OPEN,3088
2020-01-13 00:00:00.000276428,WHEN_MKT_CLOSE,3088
2020-01-13 00:00:00.000280363,WHEN_MKT_OPEN,4916
2020-01-13 00:00:00.000280363,WHEN_MKT_CLOSE,4916
2020-01-13 00:00:00.000282353,WHEN_MKT_OPEN,4682
2020-01-13 00:00:00.000282353,WHEN_MKT_CLOSE,4682
2020-01-13 00:00:00.000285596,WHEN_MKT_OPEN,888
2020-01-13 00:00:00.000285596,WHEN_MKT_CLOSE,888
2020-01-13 00:00:00.000286555,WHEN_MKT_OPEN,3752
2020-01-13 00:00:00.000286555,WHEN_MKT_CLOSE,3752
2020-01-13 00:00:00.000289705,WHEN_MKT_OPEN,1801
2020-01-13 00:00:00.000289705,WHEN_MKT_CLOSE,1801
2020-01-13 00:00:00.000290115,WHEN_MKT_OPEN,3281
