FundamentalTime,FundamentalValue
2020-01-13 09:33:05.300843894,100043.0
2020-01-13 09:33:05.402219441,100043.0
2020-01-13 09:33:05.480996989,100042.0
2020-01-13 09:33:05.528749825,100041.0
2020-01-13 09:33:05.557374125,100041.0
2020-01-13 09:33:05.780738912,100038.0
2020-01-13 09:33:05.964857529,100038.0
2020-01-13 09:33:06.239715941,100034.0
2020-01-13 09:33:06.247053389,100034.0
2020-01-13 09:33:06.352237126,100037.0
2020-01-13 09:33:06.359633516,100037.0
2020-01-13 09:33:06.631713453,100036.0
2020-01-13 09:33:06.656664015,100036.0
2020-01-13 09:33:06.821095088,100034.0
2020-01-13 09:33:06.878899182,100033.0
2020-01-13 09:33:06.910208733,100033.0
2020-01-13 09:33:07.253434381,100027.0
2020-01-13 09:33:07.281908478,100027.0
2020-01-13 09:33:07.617094380,100019.0
2020-01-13 09:33:07.780316422,100018.0
2020-01-13 09:33:07.790435893,100018.0
2020-01-13 09:33:07.880764089,100017.0
2020-01-13 09:33:08.039621942,100017.0
2020-01-13 09:33:08.104565898,100017.0
2020-01-13 09:33:08.197661508,100016.0
2020-01-13 09:33:08.280642443,100015.0
2020-01-13 09:33:08.289960815,100015.0
2020-01-13 09:33:08.508709301,100016.0
2020-01-13 09:33:08.755707781,100012.0
2020-01-13 09:33:08.756182700,100012.0
2020-01-13 09:33:08.841374445,100012.0
2020-01-13 09:33:09.119943199,100013.0
2020-01-13 09:33:09.187559006,100013.0
2020-01-13 09:33:09.309423436,100016.0
2020-01-13 09:33:09.505043098,100017.0
2020-01-13 09:33:09.640433565,100016.0
2020-01-13 09:33:09.720016409,100015.0
2020-01-13 09:33:09.831852060,100016.0
2020-01-13 09:33:09.847310839,100016.0
2020-01-13 09:33:10.169768874,100015.0
2020-01-13 09:33:10.968836756,100014.0
2020-01-13 09:33:11.293019065,100017.0
2020-01-13 09:33:11.496995296,100015.0
2020-01-13 09:33:11.519852301,100015.0
2020-01-13 09:33:11.588550553,100014.0
2020-01-13 09:33:11.807137707,100014.0
2020-01-13 09:33:11.816586988,100014.0
2020-01-13 09:33:12.380704856,100011.0
2020-01-13 09:33:12.469141958,100010.0
2020-01-13 09:33:12.794679946,100012.0
2020-01-13 09:33:12.908935892,100013.0
2020-01-13 09:33:12.928754646,100013.0
2020-01-13 09:33:13.040196719,100013.0
2020-01-13 09:33:13.131525729,100012.0
2020-01-13 09:33:13.216869732,100012.0
2020-01-13 09:33:13.404616266,100010.0
2020-01-13 09:33:13.675448995,100009.0
2020-01-13 09:33:14.030456879,100013.0
2020-01-13 09:33:14.083553723,100013.0
2020-01-13 09:33:14.299808554,100015.0
2020-01-13 09:33:14.460272363,100016.0
2020-01-13 09:33:14.869114212,100013.0
2020-01-13 09:33:15.084025463,100011.0
2020-01-13 09:33:15.102216034,100011.0
2020-01-13 09:33:15.303241341,100015.0
2020-01-13 09:33:15.352811321,100016.0
2020-01-13 09:33:15.642896501,100019.0
2020-01-13 09:33:15.668945525,100019.0
2020-01-13 09:33:15.780384684,100019.0
2020-01-13 09:33:15.809917959,100019.0
2020-01-13 09:33:15.999822877,100018.0
2020-01-13 09:33:16.191436736,100019.0
2020-01-13 09:33:16.615374255,100021.0
2020-01-13 09:33:16.824568713,100023.0
2020-01-13 09:33:16.852768682,100023.0
2020-01-13 09:33:17.191681910,100020.0
2020-01-13 09:33:17.193441493,100020.0
2020-01-13 09:33:17.656606817,100014.0
2020-01-13 09:33:17.991424913,100014.0
