AgentID,AgentStrategy,EventType,Event
262,NoiseAgent,STARTING_CASH,10000000.0
263,NoiseAgent,STARTING_CASH,10000000.0
264,NoiseAgent,STARTING_CASH,10000000.0
265,NoiseAgent,STARTING_CASH,10000000.0
266,NoiseAgent,STARTING_CASH,10000000.0
267,NoiseAgent,STARTING_CASH,10000000.0
268,NoiseAgent,STARTING_CASH,10000000.0
269,NoiseAgent,STARTING_CASH,10000000.0
270,NoiseAgent,STARTING_CASH,10000000.0
271,NoiseAgent,STARTING_CASH,10000000.0
272,NoiseAgent,STARTING_CASH,10000000.0
273,NoiseAgent,STARTING_CASH,10000000.0
274,NoiseAgent,STARTING_CASH,10000000.0
275,NoiseAgent,STARTING_CASH,10000000.0
276,NoiseAgent,STARTING_CASH,10000000.0
277,NoiseAgent,STARTING_CASH,10000000.0
278,NoiseAgent,STARTING_CASH,10000000.0
279,NoiseAgent,STARTING_CASH,10000000.0
280,NoiseAgent,STARTING_CASH,10000000.0
281,NoiseAgent,STARTING_CASH,10000000.0
282,NoiseAgent,STARTING_CASH,10000000.0
283,NoiseAgent,STARTING_CASH,10000000.0
284,NoiseAgent,STARTING_CASH,10000000.0
285,NoiseAgent,STARTING_CASH,10000000.0
286,NoiseAgent,STARTING_CASH,10000000.0
287,NoiseAgent,STARTING_CASH,10000000.0
288,NoiseAgent,STARTING_CASH,10000000.0
289,NoiseAgent,STARTING_CASH,10000000.0
290,NoiseAgent,STARTING_CASH,10000000.0
291,NoiseAgent,STARTING_CASH,10000000.0
292,NoiseAgent,STARTING_CASH,10000000.0
293,NoiseAgent,STARTING_CASH,10000000.0
294,NoiseAgent,STARTING_CASH,10000000.0
295,NoiseAgent,STARTING_CASH,10000000.0
296,NoiseAgent,STARTING_CASH,10000000.0
297,NoiseAgent,STARTING_CASH,10000000.0
298,NoiseAgent,STARTING_CASH,10000000.0
299,NoiseAgent,STARTING_CASH,10000000.0
300,NoiseAgent,STARTING_CASH,10000000.0
301,NoiseAgent,STARTING_CASH,10000000.0
302,NoiseAgent,STARTING_CASH,10000000.0
303,NoiseAgent,STARTING_CASH,10000000.0
304,NoiseAgent,STARTING_CASH,10000000.0
305,NoiseAgent,STARTING_CASH,10000000.0
306,NoiseAgent,STARTING_CASH,10000000.0
307,NoiseAgent,STARTING_CASH,10000000.0
308,NoiseAgent,STARTING_CASH,10000000.0
309,NoiseAgent,STARTING_CASH,10000000.0
310,NoiseAgent,STARTING_CASH,10000000.0
311,NoiseAgent,STARTING_CASH,10000000.0
312,NoiseAgent,STARTING_CASH,10000000.0
313,NoiseAgent,STARTING_CASH,10000000.0
314,NoiseAgent,STARTING_CASH,10000000.0
315,NoiseAgent,STARTING_CASH,10000000.0
316,NoiseAgent,STARTING_CASH,10000000.0
317,NoiseAgent,STARTING_CASH,10000000.0
318,NoiseAgent,STARTING_CASH,10000000.0
319,NoiseAgent,STARTING_CASH,10000000.0
320,NoiseAgent,STARTING_CASH,10000000.0
321,NoiseAgent,STARTING_CASH,10000000.0
322,NoiseAgent,STARTING_CASH,10000000.0
323,NoiseAgent,STARTING_CASH,10000000.0
324,NoiseAgent,STARTING_CASH,10000000.0
325,NoiseAgent,STARTING_CASH,10000000.0
326,NoiseAgent,STARTING_CASH,10000000.0
327,NoiseAgent,STARTING_CASH,10000000.0
328,NoiseAgent,STARTING_CASH,10000000.0
329,NoiseAgent,STARTING_CASH,10000000.0
330,NoiseAgent,STARTING_CASH,10000000.0
331,NoiseAgent,STARTING_CASH,10000000.0
332,NoiseAgent,STARTING_CASH,10000000.0
333,NoiseAgent,STARTING_CASH,10000000.0
334,NoiseAgent,STARTING_CASH,10000000.0
335,NoiseAgent,STARTING_CASH,10000000.0
336,NoiseAgent,STARTING_CASH,10000000.0
337,NoiseAgent,STARTING_CASH,10000000.0
338,NoiseAgent,STARTING_CASH,10000000.0
339,NoiseAgent,STARTING_CASH,10000000.0
340,NoiseAgent,STARTING_CASH,10000000.0
341,NoiseAgent,STARTING_CASH,10000000.0
342,NoiseAgent,STARTING_CASH,10000000.0
343,NoiseAgent,STARTING_CASH,10000000.0
344,NoiseAgent,STARTING_CASH,10000000.0
345,NoiseAgent,STARTING_CASH,10000000.0
