time,price_dollars,side,qty
2020-01-13 09:30:00.008680973,997.25,BID,21
2020-01-13 09:30:00.008680973,997.31,BID,48
2020-01-13 09:30:00.008680973,997.37,BID,34
2020-01-13 09:30:00.008680973,997.44,BID,26
2020-01-13 09:30:00.008680973,997.72,BID,23
2020-01-13 09:30:00.008680973,997.75,BID,20
2020-01-13 09:30:00.008680973,997.86,BID,39
2020-01-13 09:30:00.008680973,997.89,BID,28
2020-01-13 09:30:00.008680973,997.91,BID,2177
2020-01-13 09:30:00.008680973,998.35,BID,39
2020-01-13 09:30:00.008680973,998.59,ASK,220
2020-01-13 09:30:00.008680973,1000.18,ASK,47
2020-01-13 09:30:00.008680973,1000.66,ASK,22
2020-01-13 09:30:00.008680973,1000.8,ASK,49
2020-01-13 09:30:00.009733779,997.24,BID,42
2020-01-13 09:30:00.009733779,997.25,BID,21
2020-01-13 09:30:00.009733779,997.31,BID,48
2020-01-13 09:30:00.009733779,997.37,BID,34
2020-01-13 09:30:00.009733779,997.44,BID,26
2020-01-13 09:30:00.009733779,997.72,BID,23
2020-01-13 09:30:00.009733779,997.75,BID,20
2020-01-13 09:30:00.009733779,997.78,BID,46
2020-01-13 09:30:00.009733779,997.86,BID,39
2020-01-13 09:30:00.009733779,997.89,BID,28
2020-01-13 09:30:00.009733779,997.91,BID,2177
2020-01-13 09:30:00.009733779,998.35,BID,39
2020-01-13 09:30:00.009733779,999.45,BID,305
2020-01-13 09:30:00.009733779,999.8,ASK,21
2020-01-13 09:30:00.009733779,1000.18,ASK,47
2020-01-13 09:30:00.009733779,1000.66,ASK,22
2020-01-13 09:30:00.009733779,1000.8,ASK,49
2020-01-13 09:30:00.010791753,997.24,BID,42
2020-01-13 09:30:00.010791753,997.25,BID,21
2020-01-13 09:30:00.010791753,997.31,BID,48
2020-01-13 09:30:00.010791753,997.37,BID,34
2020-01-13 09:30:00.010791753,997.44,BID,26
2020-01-13 09:30:00.010791753,997.72,BID,23
2020-01-13 09:30:00.010791753,997.75,BID,20
2020-01-13 09:30:00.010791753,997.78,BID,46
2020-01-13 09:30:00.010791753,997.86,BID,39
2020-01-13 09:30:00.010791753,997.89,BID,28
2020-01-13 09:30:00.010791753,997.91,BID,2177
2020-01-13 09:30:00.010791753,998.13,BID,28
2020-01-13 09:30:00.010791753,998.35,BID,39
2020-01-13 09:30:00.010791753,998.59,ASK,249
2020-01-13 09:30:00.010791753,999.14,ASK,37
2020-01-13 09:30:00.010791753,999.8,ASK,21
2020-01-13 09:30:00.010791753,999.84,ASK,31
2020-01-13 09:30:00.010791753,1000.18,ASK,47
2020-01-13 09:30:00.010791753,1000.66,ASK,22
2020-01-13 09:30:00.010791753,1000.8,ASK,49
2020-01-13 09:30:00.011863781,997.24,BID,42
2020-01-13 09:30:00.011863781,997.25,BID,21
2020-01-13 09:30:00.011863781,997.31,BID,48
2020-01-13 09:30:00.011863781,997.37,BID,34
2020-01-13 09:30:00.011863781,997.44,BID,26
2020-01-13 09:30:00.011863781,997.72,BID,23
2020-01-13 09:30:00.011863781,997.75,BID,20
2020-01-13 09:30:00.011863781,997.78,BID,46
2020-01-13 09:30:00.011863781,997.86,BID,39
2020-01-13 09:30:00.011863781,997.89,BID,28
2020-01-13 09:30:00.011863781,997.91,BID,2177
2020-01-13 09:30:00.011863781,998.13,BID,28
2020-01-13 09:30:00.011863781,998.35,BID,39
2020-01-13 09:30:00.011863781,998.59,ASK,109
2020-01-13 09:30:00.011863781,999.14,ASK,37
2020-01-13 09:30:00.011863781,999.8,ASK,21
2020-01-13 09:30:00.011863781,999.84,ASK,31
2020-01-13 09:30:00.011863781,1000.18,ASK,47
2020-01-13 09:30:00.011863781,1000.66,ASK,22
2020-01-13 09:30:00.011863781,1000.8,ASK,49
2020-01-13 09:30:00.012987629,997.24,BID,42
2020-01-13 09:30:00.012987629,997.25,BID,21
2020-01-13 09:30:00.012987629,997.31,BID,48
2020-01-13 09:30:00.012987629,997.37,BID,34
2020-01-13 09:30:00.012987629,997.44,BID,26
2020-01-13 09:30:00.012987629,997.72,BID,23
2020-01-13 09:30:00.012987629,997.75,BID,20
2020-01-13 09:30:00.012987629,997.78,BID,46
2020-01-13 09:30:00.012987629,997.86,BID,39
2020-01-13 09:30:00.012987629,997.89,BID,65
2020-01-13 09:30:00.012987629,997.91,BID,2177
2020-01-13 09:30:00.012987629,998.13,BID,28
2020-01-13 09:30:00.012987629,998.35,BID,39
2020-01-13 09:30:00.012987629,998.42,BID,33
2020-01-13 09:30:00.012987629,998.46,BID,29
2020-01-13 09:30:00.012987629,998.59,ASK,327
2020-01-13 09:30:00.012987629,999.8,ASK,21
2020-01-13 09:30:00.012987629,999.84,ASK,31
