EventTime,agent_id,time_placed,symbol,quantity,is_buy_order,order_id,fill_price,tag,limit_price
2020-01-13 09:30:00.000582977,2357,2020-01-13T09:30:00.000388644,ABM,10,1,48,99791,,99791
2020-01-13 09:30:00.000582977,2659,2020-01-13T09:30:00.000133575,ABM,10,0,27,99791,,99791
2020-01-13 09:30:00.000654187,2608,2020-01-13T09:30:00.000436108,ABM,30,1,49,99791,,99791
2020-01-13 09:30:00.000654187,2659,2020-01-13T09:30:00.000133575,ABM,30,0,27,99791,,99791
2020-01-13 09:30:00.000654187,2608,2020-01-13T09:30:00.000436108,ABM,10,1,49,99791,,99791
2020-01-13 09:30:00.000654187,3226,2020-01-13T09:30:00.000137762,ABM,10,0,28,99791,,99791
2020-01-13 09:30:00.000690466,3572,2020-01-13T09:30:00.000460320,ABM,23,1,51,99791,,99791
2020-01-13 09:30:00.000690466,3226,2020-01-13T09:30:00.000137762,ABM,23,0,28,99791,,99791
2020-01-13 09:30:00.000697697,4643,2020-01-13T09:30:00.000465129,ABM,15,1,53,99791,,99791
2020-01-13 09:30:00.000697697,3226,2020-01-13T09:30:00.000137762,ABM,15,0,28,99791,,99791
2020-01-13 09:30:00.000697697,4643,2020-01-13T09:30:00.000465129,ABM,15,1,53,99791,,99791
2020-01-13 09:30:00.000697697,1590,2020-01-13T09:30:00.000139259,ABM,15,0,29,99791,,99791
2020-01-13 09:30:00.000715736,2250,2020-01-13T09:30:00.000477143,ABM,17,1,54,99791,,99791
2020-01-13 09:30:00.000715736,1590,2020-01-13T09:30:00.000139259,ABM,17,0,29,99791,,99791
2020-01-13 09:30:00.000715736,2250,2020-01-13T09:30:00.000477143,ABM,28,1,54,99791,,99791
2020-01-13 09:30:00.000715736,348,2020-01-13T09:30:00.000160205,ABM,28,0,30,99791,,99791
2020-01-13 09:30:00.000720572,2951,2020-01-13T09:30:00.000480385,ABM,6,1,55,99791,,99791
2020-01-13 09:30:00.000720572,348,2020-01-13T09:30:00.000160205,ABM,6,0,30,99791,,99791
2020-01-13 09:30:00.000720572,2951,2020-01-13T09:30:00.000480385,ABM,24,1,55,99791,,99791
2020-01-13 09:30:00.000720572,476,2020-01-13T09:30:00.000174578,ABM,24,0,31,99791,,99791
2020-01-13 09:30:00.002164305,4620,2020-01-13T09:30:00.001442879,ABM,6,0,130,99791,,99791
2020-01-13 09:30:00.002164305,2951,2020-01-13T09:30:00.000480385,ABM,6,1,55,99791,,99791
2020-01-13 09:30:00.002164305,4620,2020-01-13T09:30:00.001442879,ABM,23,0,130,99791,,99791
2020-01-13 09:30:00.002164305,1729,2020-01-13T09:30:00.000506495,ABM,23,1,56,99791,,99791
2020-01-13 09:30:00.002167980,2764,2020-01-13T09:30:00.001445330,ABM,24,1,131,99859,,99859
2020-01-13 09:30:00.002167980,5011,2020-01-13T09:30:00.000464279,ABM,24,0,52,99859,,99859
2020-01-13 09:30:00.002196147,2556,2020-01-13T09:30:00.001464091,ABM,17,0,134,99859,,99791
2020-01-13 09:30:00.002196147,2764,2020-01-13T09:30:00.001445330,ABM,17,1,131,99859,,99859
2020-01-13 09:30:00.002196147,2556,2020-01-13T09:30:00.001464091,ABM,23,0,134,99859,,99791
2020-01-13 09:30:00.002196147,1378,2020-01-13T09:30:00.001447680,ABM,23,1,132,99859,,99859
2020-01-13 09:30:00.002225472,3573,2020-01-13T09:30:00.001483643,ABM,2,0,136,99859,,99791
2020-01-13 09:30:00.002225472,1378,2020-01-13T09:30:00.001447680,ABM,2,1,132,99859,,99859
2020-01-13 09:30:00.002225472,3573,2020-01-13T09:30:00.001483643,ABM,34,0,136,99859,,99791
2020-01-13 09:30:00.002225472,93,2020-01-13T09:30:00.001455269,ABM,34,1,133,99859,,99859
2020-01-13 09:30:00.002231729,2518,2020-01-13T09:30:00.001487821,ABM,15,0,137,99859,,99791
2020-01-13 09:30:00.002231729,93,2020-01-13T09:30:00.001455269,ABM,15,1,133,99859,,99859
2020-01-13 09:30:00.002231729,2518,2020-01-13T09:30:00.001487821,ABM,9,0,137,99859,,99791
2020-01-13 09:30:00.002231729,912,2020-01-13T09:30:00.001470192,ABM,9,1,135,99859,,99859
2020-01-13 09:30:00.002235268,2420,2020-01-13T09:30:00.001490177,ABM,13,0,138,99859,,99791
2020-01-13 09:30:00.002235268,912,2020-01-13T09:30:00.001470192,ABM,13,1,135,99859,,99859
2020-01-13 09:30:00.002235268,2420,2020-01-13T09:30:00.001490177,ABM,11,0,138,99791,,99791
2020-01-13 09:30:00.002235268,1729,2020-01-13T09:30:00.000506495,ABM,11,1,56,99791,,99791
2020-01-13 09:30:00.002235268,2420,2020-01-13T09:30:00.001490177,ABM,22,0,138,99791,,99791
2020-01-13 09:30:00.002235268,200,2020-01-13T09:30:00.000528748,ABM,22,1,58,99791,,99791
2020-01-13 09:30:00.002253910,1953,2020-01-13T09:30:00.001502620,ABM,45,0,141,99859,,99791
2020-01-13 09:30:00.002253910,593,2020-01-13T09:30:00.001497062,ABM,45,1,139,99859,,99859
2020-01-13 09:30:00.002254151,2226,2020-01-13T09:30:00.001502760,ABM,4,0,142,99859,,99791
2020-01-13 09:30:00.002254151,593,2020-01-13T09:30:00.001497062,ABM,4,1,139,99859,,99859
2020-01-13 09:30:00.002254151,2226,2020-01-13T09:30:00.001502760,ABM,16,0,142,99859,,99791
2020-01-13 09:30:00.002254151,3316,2020-01-13T09:30:00.001502288,ABM,16,1,140,99859,,99859
2020-01-13 09:30:00.002266895,737,2020-01-13T09:30:00.001511272,ABM,28,0,144,99859,,99791
2020-01-13 09:30:00.002266895,3316,2020-01-13T09:30:00.001502288,ABM,28,1,140,99859,,99859
2020-01-13 09:30:00.002266895,737,2020-01-13T09:30:00.001511272,ABM,15,0,144,99859,,99791
2020-01-13 09:30:00.002266895,700,2020-01-13T09:30:00.001504861,ABM,15,1,143,99859,,99859
2020-01-13 09:30:00.002269776,1292,2020-01-13T09:30:00.001513186,ABM,16,0,145,99859,,99791
2020-01-13 09:30:00.002269776,700,2020-01-13T09:30:00.001504861,ABM,16,1,143,99859,,99859
2020-01-13 09:30:00.002269776,1292,2020-01-13T09:30:00.001513186,ABM,14,0,145,99791,,99791
2020-01-13 09:30:00.002269776,200,2020-01-13T09:30:00.000528748,ABM,14,1,58,99791,,99791
2020-01-13 09:30:00.002290515,3173,2020-01-13T09:30:00.001526994,ABM,29,0,149,99859,,99791
2020-01-13 09:30:00.002290515,2323,2020-01-13T09:30:00.001517011,ABM,29,1,146,99859,,99859
2020-01-13 09:30:00.002290515,3173,2020-01-13T09:30:00.001526994,ABM,20,0,149,99859,,99791
2020-01-13 09:30:00.002290515,4857,2020-01-13T09:30:00.001519041,ABM,20,1,147,99859,,99859
2020-01-13 09:30:00.002293744,741,2020-01-13T09:30:00.001529169,ABM,5,0,150,99859,,99791
2020-01-13 09:30:00.002293744,4857,2020-01-13T09:30:00.001519041,ABM,5,1,147,99859,,99859
2020-01-13 09:30:00.002293744,741,2020-01-13T09:30:00.001529169,ABM,19,0,150,99859,,99791
2020-01-13 09:30:00.002293744,1680,2020-01-13T09:30:00.001525196,ABM,19,1,148,99859,,99859
2020-01-13 09:30:00.002303448,1176,2020-01-13T09:30:00.001535635,ABM,7,0,152,99859,,99791
2020-01-13 09:30:00.002303448,1680,2020-01-13T09:30:00.001525196,ABM,7,1,148,99859,,99859
2020-01-13 09:30:00.002303448,1176,2020-01-13T09:30:00.001535635,ABM,24,0,152,99859,,99791
2020-01-13 09:30:00.002303448,1337,2020-01-13T09:30:00.001531075,ABM,24,1,151,99859,,99859
2020-01-13 09:30:00.002303448,1176,2020-01-13T09:30:00.001535635,ABM,5,0,152,99791,,99791
2020-01-13 09:30:00.002303448,200,2020-01-13T09:30:00.000528748,ABM,5,1,58,99791,,99791
2020-01-13 09:30:00.002303448,1176,2020-01-13T09:30:00.001535635,ABM,4,0,152,99791,,99791
2020-01-13 09:30:00.002303448,1319,2020-01-13T09:30:00.000530161,ABM,4,1,59,99791,,99791
2020-01-13 09:30:00.002322043,2624,2020-01-13T09:30:00.001548030,ABM,44,0,156,99859,,99791
2020-01-13 09:30:00.002322043,3104,2020-01-13T09:30:00.001537615,ABM,44,1,153,99859,,99859
2020-01-13 09:30:00.002322205,3626,2020-01-13T09:30:00.001548148,ABM,22,0,157,99859,,99791
2020-01-13 09:30:00.002322205,286,2020-01-13T09:30:00.001538096,ABM,22,1,154,99859,,99859
2020-01-13 09:30:00.002322205,3626,2020-01-13T09:30:00.001548148,ABM,11,0,157,99859,,99791
2020-01-13 09:30:00.002322205,3126,2020-01-13T09:30:00.001542532,ABM,11,1,155,99859,,99859
2020-01-13 09:30:00.002330958,1418,2020-01-13T09:30:00.001553981,ABM,28,0,158,99859,,99791
2020-01-13 09:30:00.002330958,3126,2020-01-13T09:30:00.001542532,ABM,28,1,155,99859,,99859
2020-01-13 09:30:00.002337136,4918,2020-01-13T09:30:00.001558085,ABM,2,0,160,99859,,99791
2020-01-13 09:30:00.002337136,3126,2020-01-13T09:30:00.001542532,ABM,2,1,155,99859,,99859
2020-01-13 09:30:00.002337136,4918,2020-01-13T09:30:00.001558085,ABM,32,0,160,99859,,99791
2020-01-13 09:30:00.002337136,450,2020-01-13T09:30:00.001555844,ABM,32,1,159,99859,,99859
2020-01-13 09:30:00.002344089,4774,2020-01-13T09:30:00.001562732,ABM,6,0,162,99859,,99791
2020-01-13 09:30:00.002344089,450,2020-01-13T09:30:00.001555844,ABM,6,1,159,99859,,99859
2020-01-13 09:30:00.002344089,4774,2020-01-13T09:30:00.001562732,ABM,43,0,162,99859,,99791
2020-01-13 09:30:00.002344089,1495,2020-01-13T09:30:00.001558809,ABM,43,1,161,99859,,99859
2020-01-13 09:30:00.002378025,2331,2020-01-13T09:30:00.001585356,ABM,27,0,164,99859,,99791
2020-01-13 09:30:00.002378025,1119,2020-01-13T09:30:00.001566680,ABM,27,1,163,99859,,99859
2020-01-13 09:30:00.002378025,2331,2020-01-13T09:30:00.001585356,ABM,17,0,164,99791,,99791
2020-01-13 09:30:00.002378025,1319,2020-01-13T09:30:00.000530161,ABM,17,1,59,99791,,99791
2020-01-13 09:30:00.002412117,2603,2020-01-13T09:30:00.001608084,ABM,21,0,168,99859,,99791
