ticker,date,strategy,arrival_mid,market_vwap,executed_avg,fills,oversize_count,null_nbbo_count,vwap_slip_bps,is_bps,effective_spread_bps,realized_spread_bps,markout_1s_bps,markout_10s_bps,markout_60s_bps,reversion_5m_bps,pov,price_var,schedule_rmse,hit_ratio_nbbo,error
AMZN,20200113,twap,1886.665,1885.5466138220756,1885.402054,60,45,0,0.7666732872899195,6.694065984157528,3.087089521149534,2.1714597884653917,1.5062033598642135,1.4996944278677864,1.4393792412639899,-1.2194281412204788,0.022781637999772182,2.0267257485626904,0.0,1.0,""
AMZN,20200113,vwap_following,1886.665,1885.5466138220756,1885.1072549999997,12,12,0,2.3301403362570636,8.256606233752656,3.0144904698983637,0.687736878611411,1.434945536620752,1.9431976551073291,3.437833272450679,-7.695165313379215,0.022781637999772182,2.2319964904393204,0.0,1.0,""
AMZN,20200114,twap,1860.175,1868.6780066369636,1868.72826,60,26,0,-0.26892467754227056,-45.98094265324573,3.8054899447222166,8.24793447694701,1.7875996010740802,1.77589742287985,2.6290523099487286,-10.227576974564148,0.017169297861563952,2.4284262649489157,0.0,1.0,""
AMZN,20200114,vwap_following,1860.175,1868.6780066369636,1868.415471,12,12,0,1.4049270983609983,-44.29943956885815,4.046949064115783,11.744969083696644,2.1759911630028617,1.273705636857973,2.702841105167852,-8.837139551823617,0.017169297861563952,1.9880207531993708,0.0,1.0,""
AMZN,20200115,twap,1876.175,1871.8937181300482,1871.2973599999998,60,41,0,3.1858546469410065,25.99778805282106,3.4519676325143425,-3.191280445038029,1.7806545356649273,1.6258084250227949,1.1285181456169535,11.308648576392365,0.024514310228595942,2.1071464089380605,0.0,1.0,""
AMZN,20200115,vwap_following,1876.175,1871.8937181300482,1871.332318,12,12,0,2.9991025911933673,25.811462150385587,3.8403514999697657,-4.955506372015864,1.9492404526252427,2.2827810116969354,2.4608047660637684,12.301372940189557,0.024514310228595942,2.40495747458149,0.0,1.0,""
AMZN,20200116,twap,1878.2350000000001,1873.8191519212062,1873.64294,60,49,0,0.940389156688699,24.448804329597596,3.733933309278504,-4.849101281853104,1.9635827594809905,1.5374049192084207,1.016020101740164,-9.961279542424485,0.021763875014418566,3.363777319191523,0.0,1.0,""
AMZN,20200116,vwap_following,1878.2350000000001,1873.8191519212062,1873.2314649999998,12,12,0,3.1363054465730706,26.639557882801054,4.054459486220444,-2.572693352006389,2.0315305556970493,2.1710054814697664,1.408610054160776,-14.38136047134411,0.021763875014418566,3.4893824885665974,0.0,1.0,""
AMZN,20200117,twap,1876.125,1871.6386651871007,1871.6024079999995,60,43,0,0.19371894680110882,24.106027050438996,2.9143762852706323,-1.6225578181390692,1.4423230104747087,1.3602723008027233,0.9563500614865464,-6.155295427418849,0.021390282822319476,2.121947957795687,0.0,1.0,""
AMZN,20200117,vwap_following,1876.125,1871.6386651871007,1871.2299099999998,12,12,0,2.183942844865781,26.09149177160482,2.8306746368335474,-0.10016702599517524,1.4854751113436195,1.4001543746610616,1.651210471843592,-3.9332366524149394,0.021390282822319476,1.8605611730840794,0.0,1.0,""
MSFT,20200113,twap,161.925,161.62200104780328,161.61174600000004,60,8,0,0.6345081571046823,19.34562297359717,0.6703050692753562,-2.97902121842914,0.4023563586617299,0.40227863262763036,-0.10909808918929784,-7.7365847620226535,0.004053084052451771,0.2087478813451808,0.0,1.0,""
MSFT,20200113,vwap_following,161.925,161.62200104780328,161.61982600000002,12,10,0,0.13457622038843728,18.846626524625215,0.6540218116746309,-3.704683720001207,0.2628136796085471,0.48297436343623784,-0.590092060628363,-5.881260446975724,0.004053084052451771,0.21605800287437166,0.0,1.0,""
MSFT,20200114,twap,162.845,163.26138420749726,163.25461800000002,60,13,0,0.4144401647750695,-25.15385796309516,0.6329932380130331,2.398651242493741,0.38829433049915496,0.30676977657641374,0.7285278235896864,0.30646644192607253,0.0034545106582017336,0.15991973622382283,0.0,1.0,""
