Exchange,nbbo_share_bid_pct,nbbo_share_ask_pct,volume_share_pct,n_trades,avg_depth_at_best,adverse_selection_bps,routable,ticker,date
EDGA,2.6444337233144375,4.370200619145257,0.6564450369954311,531,116.05506506548392,-0.16629801817867942,true,AMZN,20200115
NYSE,0.4814457443814578,0.2372050014071483,0.5545466252815441,523,112.16981132075472,-0.9636832238489663,true,AMZN,20200115
NSE,0.582961444136212,0.4573232018654766,0.3349431580322718,157,100.19973368841545,0.13628707336735615,true,AMZN,20200115
AMEX,0.09447995818759297,0.15378120853938004,0.071786942961294,34,107.78947368421052,-1.0041331021604358,true,AMZN,20200115
FINRA,0.0,0.0,36.669093253484064,25305,0.0,-0.6432540096560327,false,AMZN,20200116
NASDAQ,40.037082958901614,33.54415260888853,26.341438078341106,18770,145.16134300084917,-3.7075943887090497,true,AMZN,20200116
BATS,22.572829338763068,24.861507661157304,14.110616083736208,9173,127.82505826682676,-0.060384916839575545,true,AMZN,20200116
EDGX,7.780596284879025,7.382466358021181,8.161864607997678,6852,169.358235692844,-0.3000921464699529,true,AMZN,20200116
ARCA,6.654457348909693,7.917097974087429,6.381002710742058,4584,120.80067021722219,-0.3266256843329963,true,AMZN,20200116
IEX,0.44590551808078627,0.19565242119871235,2.7456156550300426,1193,116.48648648648648,-0.06287265431829324,true,AMZN,20200116
NASDAQ PSX,16.79994539932432,18.47664114843421,1.7264904134706074,764,111.29218876935575,0.007975016779915377,true,AMZN,20200116
NASDAQ BX,0.7871597411017962,0.541456700526669,0.9395672705927357,519,131.64777680906712,-0.1358619022243632,true,AMZN,20200116
EDGA,2.066863077430583,3.9266985928950873,0.8351525864172695,570,100.1967810150376,-0.807381456354308,true,AMZN,20200116
BATS Y,0.4652432573853101,0.16266451297334805,0.6794992711995198,468,100.9303928325293,-0.09715444842745512,true,AMZN,20200116
NYSE,0.783747198871586,0.6665832489677059,0.5611516366682276,273,215.59510141599694,0.5484110587401957,true,AMZN,20200116
NSE,0.9759870778400882,0.6119825732843444,0.4415673497384892,201,100.58715596330275,-0.6146505460624786,true,AMZN,20200116
CSE,0.5778571509822434,1.5891071652011695,0.3117600696482631,70,412.5404530744337,-2.829827336766263,true,AMZN,20200116
AMEX,0.05232564752988818,0.12398903436430025,0.09518101293373522,51,101.81543116490167,0.9007594493953951,true,AMZN,20200116
NASDAQ,30.809779968695466,27.389669503265385,30.926357288799412,25780,149.56668206145235,-7.991461672717996,true,AMZN,20200117
FINRA,0.0,0.0,27.669687550291684,29711,0.0,-0.4656759365041177,false,AMZN,20200117
BATS,26.768076570174333,13.359300505550259,13.330465897813927,11883,128.8657105606258,-0.0056463609157405325,true,AMZN,20200117
ARCA,8.543079718619003,15.103538851807208,8.01667027975058,7589,122.69648959304132,0.3615597159916859,true,AMZN,20200117
EDGX,8.300199701347534,6.75026536890776,7.341009193355265,8609,177.63905165419635,0.056470167735720084,true,AMZN,20200117
CSE,16.31793893816455,15.036072180342911,4.284023518729161,250,100.01785650512481,1.6510420138567523,true,AMZN,20200117
NYSE,0.9535289566953925,7.905294784376518,2.336585684644854,1606,222.7404683568802,0.356939290559913,true,AMZN,20200117
IEX,0.3130453555943364,0.3850098051562528,1.5936435057911547,881,170.4767726161369,-0.040321517564253326,true,AMZN,20200117
NASDAQ PSX,3.9571451702858784,5.767051076768077,1.373374939937878,865,121.59890204151655,-0.26985936279838335,true,AMZN,20200117
EDGA,2.9820268787219115,5.760754187431409,1.1083674704986661,1560,103.54079316844252,0.5829740382246676,true,AMZN,20200117
NASDAQ BX,0.4839609233038879,1.2791680909630643,0.8075746360933552,733,105.68479685452162,-0.0916977290170995,true,AMZN,20200117
BATS Y,0.26716801899861464,0.3031502437795729,0.7528745609239361,750,101.61622665808113,0.2999623743541514,true,AMZN,20200117
NSE,0.18081067952431498,0.742133386107263,0.2928181392358745,177,100.55619930475086,0.6458213329477106,true,AMZN,20200117
AMEX,0.12323911987478185,0.2185920155443211,0.1665473341342576,152,152.61768639844703,-0.4685643031034298,true,AMZN,20200117
FINRA,0.0,0.0,34.6596132143141,50131,0.0,-0.13614338878150603,false,MSFT,20200113
NASDAQ,56.268487760771244,53.56386632830201,28.722774415134438,36018,683.5009049915778,-6.86117790359138,true,MSFT,20200113
BATS,22.006417626043483,26.172753168636635,10.108154151765932,14478,592.598076283234,0.20422100874515778,true,MSFT,20200113
EDGX,3.3366710639943626,3.3363178649826137,6.409024076840968,12394,330.4371679585036,0.11293074324501536,true,MSFT,20200113
ARCA,7.472454892071212,8.306357758810991,6.378877744199614,12281,325.20001559341955,-0.04438532916951614,true,MSFT,20200113
NYSE,7.0318391249141285,7.199785255000856,3.4540784918080685,4674,366.5749803439308,0.04903473124513926,true,MSFT,20200113
