size,size_pct_adv,window,ticker,strategy,parent_qty,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
0_1pct_adv,0.001,open,SNPS,vwap_following,911,-36.79767049864734,15.234204958805302,11.254646109361335,6.285628862613461
0_1pct_adv,0.001,open,SNPS,pov_5pct_cap,911,-36.79767049864734,15.234204958805302,11.254646109361335,6.285628862613461
0_1pct_adv,0.001,open,SNPS,toth,911,-36.77195045216748,15.259791669703523,11.24151296766285,6.313079803130984
0_1pct_adv,0.001,open,SNPS,rl_v4,911,-13.046309862257965,38.8624358999324,19.5657464945404,10.485780842013897
0_1pct_adv,0.001,open,SPLK,twap,1641,200.58296710481227,67.03807613066034,14.628488002661474,3.497233270492416
0_1pct_adv,0.001,open,SPLK,ac_ra,1641,165.9674211761843,31.95079506804108,20.37545250172734,-2.8540098565341734
0_1pct_adv,0.001,open,SPLK,vwap_following,1641,177.70760967735416,43.85097698393569,16.476704840715097,8.48884214971861
0_1pct_adv,0.001,open,SPLK,pov_5pct_cap,1641,177.70760967735416,43.85097698393569,16.476704840715097,8.48884214971861
0_1pct_adv,0.001,open,SPLK,toth,1641,177.61841293952318,43.76056468720065,16.48540365209979,8.487714787732857
0_1pct_adv,0.001,open,SPLK,rl_v4,1641,163.82024693832355,29.77435948243534,29.588485843937544,5.06777784982822
0_1pct_adv,0.001,open,SWKS,twap,2479,13.800680235944018,17.458017949271017,9.166749197730528,5.175050408152408
0_1pct_adv,0.001,open,SWKS,ac_ra,2479,19.658998637653394,23.314190805098406,12.114742581555543,4.829524909922252
0_1pct_adv,0.001,open,SWKS,vwap_following,2479,18.128050820692298,21.783803681250756,11.649518453966511,5.004567534397116
0_1pct_adv,0.001,open,SWKS,pov_5pct_cap,2479,18.128050820692298,21.783803681250756,11.649518453966511,5.004567534397116
0_1pct_adv,0.001,open,SWKS,toth,2479,18.128050820692298,21.783803681250756,11.649518453966511,5.004567534397116
0_1pct_adv,0.001,open,SWKS,rl_v4,2479,20.474961250732626,24.12985458067781,12.242760635917177,4.09477957615343
0_1pct_adv,0.001,open,TCOM,twap,5815,72.54691050824633,11.5796576133865,4.823496466144276,2.3098681969093833
0_1pct_adv,0.001,open,TCOM,ac_ra,5815,88.91978745248716,28.05308495260553,7.778118669117512,0.8725028266484808
0_1pct_adv,0.001,open,TCOM,vwap_following,5815,83.81855819639473,22.920527627639117,5.035314998056834,6.825145013809374
0_1pct_adv,0.001,open,TCOM,pov_5pct_cap,5815,83.81855819639473,22.920527627639117,5.035314998056834,6.825145013809374
0_1pct_adv,0.001,open,TCOM,toth,5815,83.83012661860536,22.932167094750803,5.037113589075067,6.826952141960186
0_1pct_adv,0.001,open,TCOM,rl_v4,5815,90.7796337926925,29.924353126905345,11.060322196684488,-0.504696017078951
0_1pct_adv,0.001,open,TMUS,twap,2717,-7.823997082597404,9.18912343857399,2.9016306706678385,1.2780700947778363
0_1pct_adv,0.001,open,TMUS,ac_ra,2717,-19.885129456440296,-2.8515052274940866,4.421567582016601,2.339462097399887
0_1pct_adv,0.001,open,TMUS,vwap_following,2717,-16.089765843447733,0.9374063357233903,2.7866792783717376,-2.9334031003525807
0_1pct_adv,0.001,open,TMUS,pov_5pct_cap,2717,-16.089765843447733,0.9374063357233903,2.7866792783717376,-2.9334031003525807
0_1pct_adv,0.001,open,TMUS,toth,2717,-16.07490502246789,0.9522418935752588,2.7866847172577067,-2.930931731744314
0_1pct_adv,0.001,open,TMUS,rl_v4,2717,-22.43938935355986,-5.401422928799182,5.956152077567586,2.2507609343405743
0_1pct_adv,0.001,open,TSLA,twap,24081,-73.90316516100334,-0.34561026714386606,5.960333535965327,3.5094634785550807
0_1pct_adv,0.001,open,TSLA,ac_ra,24081,-70.02516244245516,3.5040760785772895,7.344556200321651,4.812605608174387
0_1pct_adv,0.001,open,TSLA,vwap_following,24081,-62.867160081976635,10.609812188037816,7.89666355627815,9.860797899630919
0_1pct_adv,0.001,open,TSLA,pov_5pct_cap,24081,-62.867160081976635,10.609812188037816,7.89666355627815,9.860797899630919
0_1pct_adv,0.001,open,TSLA,toth,24081,-62.867160081976635,10.609812188037816,7.89666355627815,9.860797899630919
0_1pct_adv,0.001,open,TSLA,rl_v4,24081,-65.00212471438248,8.49043662528749,8.318355459280092,8.662715864122061
0_1pct_adv,0.001,open,TTWO,twap,1241,31.011996808961612,24.328075583537537,10.034863460669477,4.822984284033225
0_1pct_adv,0.001,open,TTWO,ac_ra,1241,32.48023222369868,25.79729540811132,15.229441404643945,6.248779978895926
0_1pct_adv,0.001,open,TTWO,vwap_following,1241,34.275161012713724,27.593427645523253,9.490187045653645,6.867804844969464
0_1pct_adv,0.001,open,TTWO,pov_5pct_cap,1241,34.275161012713724,27.593427645523253,9.490187045653645,6.867804844969464
0_1pct_adv,0.001,open,TTWO,toth,1241,34.249402496664786,27.567651859126308,9.479458727863943,6.85958654853027
0_1pct_adv,0.001,open,TTWO,rl_v4,1241,35.429896439463334,28.748937289337444,15.434814472872251,7.196856254440298
0_1pct_adv,0.001,open,TXN,twap,5201,-53.4397695314518,-19.814055087980414,3.1169337299206727,2.451530637937593
0_1pct_adv,0.001,open,TXN,ac_ra,5201,-42.62665000296006,-9.037102172890993,4.854600980361489,4.344048485005935
0_1pct_adv,0.001,open,TXN,vwap_following,5201,-45.32396400571292,-11.725394476354834,4.662883471998612,3.179314052980182
0_1pct_adv,0.001,open,TXN,pov_5pct_cap,5201,-45.32396400571292,-11.725394476354834,4.662883471998612,3.179314052980182
0_1pct_adv,0.001,open,TXN,toth,5201,-45.333833485162366,-11.735230945381456,4.661705886512953,3.1784332008989113
0_1pct_adv,0.001,open,TXN,rl_v4,5201,-42.37564115250628,-8.786932871101321,6.432517687923866,5.484403192099615
0_1pct_adv,0.001,open,UAL,twap,2914,43.69100148847802,25.37810965587999,5.0080369384433485,2.4621997529636563
0_1pct_adv,0.001,open,UAL,ac_ra,2914,42.769786092941956,24.45519984548642,6.956699643171257,1.4504678330042322
0_1pct_adv,0.001,open,UAL,vwap_following,2914,43.123128984382376,24.80919264947493,4.623048558786501,0.800523434316905
0_1pct_adv,0.001,open,UAL,pov_5pct_cap,2914,43.123128984382376,24.80919264947493,4.623048558786501,0.800523434316905
0_1pct_adv,0.001,open,UAL,toth,2914,43.12465860728849,24.810725085855275,4.623049242873575,0.8010986021398537
0_1pct_adv,0.001,open,UAL,rl_v4,2914,42.51242703889814,24.19736742440272,7.387493152162986,0.0855619722780419
0_1pct_adv,0.001,open,ULTA,twap,1520,47.77730443429006,25.625879349638605,13.677590838523171,5.438928190516787
0_1pct_adv,0.001,open,ULTA,ac_ra,1520,35.59666896907598,13.418132510187347,18.80160901578895,6.070067001886592
0_1pct_adv,0.001,open,ULTA,vwap_following,1520,50.32576890380036,28.18001613190798,15.694581130712374,9.679253394704848
0_1pct_adv,0.001,open,ULTA,pov_5pct_cap,1520,50.32576890380036,28.18001613190798,15.694581130712374,9.679253394704848
0_1pct_adv,0.001,open,ULTA,toth,1520,50.32576890380036,28.18001613190798,15.694581130712374,9.679253394704848
0_1pct_adv,0.001,open,ULTA,rl_v4,1520,34.13433804442322,11.952546763479525,18.05531582627278,7.933747047635658
0_1pct_adv,0.001,open,VRSK,twap,805,-45.80781750039233,11.16056535510815,11.251438709723445,6.351571003973721
0_1pct_adv,0.001,open,VRSK,ac_ra,805,-28.531389013432552,28.339021612228304,16.251196919238943,8.416315479676893
0_1pct_adv,0.001,open,VRSK,vwap_following,805,-39.03953993732162,17.890460954827578,14.634660000338148,7.660520011655758
0_1pct_adv,0.001,open,VRSK,pov_5pct_cap,805,-39.03953993732162,17.890460954827578,14.634660000338148,7.660520011655758
0_1pct_adv,0.001,open,VRSK,toth,805,-38.98750016262383,17.94220561918058,14.660232860871966,7.66637835752148
0_1pct_adv,0.001,open,VRSK,rl_v4,805,-22.34642295482315,34.48891358612734,19.45346258174893,12.225874961087234
0_1pct_adv,0.001,open,VRSN,twap,523,-19.956104755094184,37.58203019771402,11.963083770414212,5.6444792438267815
0_1pct_adv,0.001,open,VRSN,ac_ra,523,-20.33749748530479,37.20282755957083,16.2033462694155,5.980956185117045
0_1pct_adv,0.001,open,VRSN,vwap_following,523,-22.258853314872393,35.29250483532407,14.22338988570182,8.910856101255417
0_1pct_adv,0.001,open,VRSN,pov_5pct_cap,523,-22.258853314872393,35.29250483532407,14.22338988570182,8.910856101255417
0_1pct_adv,0.001,open,VRSN,toth,523,-22.24895869215517,35.30234263961502,14.253827754269043,8.926546178846385
0_1pct_adv,0.001,open,VRSN,rl_v4,523,-10.31064662753789,47.17210069027242,21.707831602475345,11.313608448648775
0_1pct_adv,0.001,open,VRTX,twap,1652,18.609625657485516,25.14852977160657,11.91383711021423,5.159235610204711
0_1pct_adv,0.001,open,VRTX,ac_ra,1652,19.664118126129218,26.202331432168133,16.755108018794186,7.482739860822908
0_1pct_adv,0.001,open,VRTX,vwap_following,1652,26.26001594788703,32.793908218300096,10.63850152920419,13.168174251632196
0_1pct_adv,0.001,open,VRTX,pov_5pct_cap,1652,26.26001594788703,32.793908218300096,10.63850152920419,13.168174251632196
0_1pct_adv,0.001,open,VRTX,toth,1652,26.253093677850735,32.78699048310899,10.635665786212023,13.15233281957053
0_1pct_adv,0.001,open,VRTX,rl_v4,1652,22.71042970222855,29.246647340474627,18.39516787752774,11.503489067665692
0_1pct_adv,0.001,open,WBA,twap,5457,24.46115880985681,15.745996269025406,3.5453052032856536,2.292890940841531
0_1pct_adv,0.001,open,WBA,ac_ra,5457,23.904735826629757,15.189087165016566,6.059722273572993,3.355632037494821
0_1pct_adv,0.001,open,WBA,vwap_following,5457,24.014679644996594,15.299127036164377,7.02902254907201,2.3114668116172474
0_1pct_adv,0.001,open,WBA,pov_5pct_cap,5457,24.014679644996594,15.299127036164377,7.02902254907201,2.3114668116172474
0_1pct_adv,0.001,open,WBA,toth,5457,24.009986921043293,15.294430212397254,7.026335218019577,2.309115285469561
0_1pct_adv,0.001,open,WBA,rl_v4,5457,22.129880587944058,13.412681318174473,5.824801824557323,2.3928692737156747
0_1pct_adv,0.001,open,WDAY,twap,1863,55.28151329815975,17.720398680035657,11.61237364510515,3.9324491609151866
0_1pct_adv,0.001,open,WDAY,ac_ra,1863,31.73305734387016,-5.916999586131511,17.61170547468888,3.6916465132029166
0_1pct_adv,0.001,open,WDAY,vwap_following,1863,50.21053749242732,12.630269843101832,10.515015446472287,-0.15247266923695654
0_1pct_adv,0.001,open,WDAY,pov_5pct_cap,1863,50.21053749242732,12.630269843101832,10.515015446472287,-0.15247266923695654
0_1pct_adv,0.001,open,WDAY,toth,1863,50.21053749242732,12.630269843101832,10.515015446472287,-0.15247266923695654
0_1pct_adv,0.001,open,WDAY,rl_v4,1863,38.034963809458546,0.40870912497877515,28.831787087745926,11.549178926643235
0_1pct_adv,0.001,open,WDC,twap,5409,173.54212583709025,58.57414218357315,6.759504475019759,1.7397618689855674
0_1pct_adv,0.001,open,WDC,ac_ra,5409,152.8282115897069,37.61787845633753,8.449261218302105,-3.6394363104800953
0_1pct_adv,0.001,open,WDC,vwap_following,5409,173.16720496957205,58.194834801939656,7.70657075136989,7.688306238337326
0_1pct_adv,0.001,open,WDC,pov_5pct_cap,5409,173.16720496957205,58.194834801939656,7.70657075136989,7.688306238337326
0_1pct_adv,0.001,open,WDC,toth,5409,173.16720496957205,58.194834801939656,7.70657075136989,7.688306238337326
0_1pct_adv,0.001,open,WDC,rl_v4,5409,147.4974462655919,32.22474403152601,8.929973262657281,-3.9147229774530956
0_1pct_adv,0.001,open,WLTW,twap,615,-124.40648684071506,2.5385024037822896,13.472857492135155,6.647384365085465
0_1pct_adv,0.001,open,WLTW,ac_ra,615,-122.45973764149348,4.460842265382128,21.250558356674027,10.664550945262098
0_1pct_adv,0.001,open,WLTW,vwap_following,615,-124.40328231528396,2.541666749233752,17.185124224146772,3.593042096778745
0_1pct_adv,0.001,open,WLTW,pov_5pct_cap,615,-124.40328231528396,2.541666749233752,17.185124224146772,3.593042096778745
