ticker,strategy,is_bps,fold,test_date
TCOM,twap,16.469505783383482,3,20200116
TCOM,ac_ra,9.027865404841357,3,20200116
TCOM,vwap_following,13.428233438486721,3,20200116
TCOM,rl_v3,7.8470031545824614,3,20200116
TSLA,twap,-67.53216715648826,3,20200116
TSLA,ac_ra,-72.4028745118566,3,20200116
TSLA,vwap_following,-61.28096944321506,3,20200116
TSLA,rl_v3,-83.95706348887506,3,20200116
TXN,twap,27.933794162826377,3,20200116
TXN,ac_ra,21.034254992317187,3,20200116
TXN,vwap_following,24.9265745007661,3,20200116
TXN,rl_v3,18.426958525342386,3,20200116
UAL,twap,-7.561276571873385,3,20200116
UAL,ac_ra,-3.3738291547488033,3,20200116
UAL,vwap_following,-6.322396096247174,3,20200116
UAL,rl_v3,-4.224241404456139,3,20200116
AAPL,twap,14.242541846121291,4,20200117
AAPL,ac_ra,6.625554135708243,4,20200117
AAPL,vwap_following,13.310931263510481,4,20200117
AAPL,rl_v3,4.835912726581612,4,20200117
ADP,twap,-0.6914957179852957,4,20200117
ADP,ac_ra,-3.2175719122511466,4,20200117
ADP,vwap_following,-1.2410163029556103,4,20200117
ADP,rl_v3,-4.423592340737696,4,20200117
BIDU,twap,15.648352432971365,4,20200117
BIDU,ac_ra,-1.9677983649256086,4,20200117
BIDU,vwap_following,9.31562600407001,4,20200117
BIDU,rl_v3,-5.693191960303119,4,20200117
BMRN,twap,-5.055137563168799,4,20200117
BMRN,ac_ra,-17.082537900055755,4,20200117
BMRN,vwap_following,-1.1664233576667933,4,20200117
BMRN,rl_v3,-16.45918023583209,4,20200117
CHKP,twap,27.803020411719103,4,20200117
CHKP,ac_ra,23.53048700874552,4,20200117
CHKP,vwap_following,28.053705879793807,4,20200117
CHKP,rl_v3,22.145275710484984,4,20200117
CPRT,twap,10.610210273040792,4,20200117
CPRT,ac_ra,4.7131499110781245,4,20200117
CPRT,vwap_following,13.247201590125094,4,20200117
CPRT,rl_v3,2.8300031384092974,4,20200117
CTAS,twap,4.657277982139941,4,20200117
CTAS,ac_ra,4.646277806971836,4,20200117
CTAS,vwap_following,6.076090383605631,4,20200117
CTAS,rl_v3,2.6260641092981802,4,20200117
CTXS,twap,7.31608385636899,4,20200117
CTXS,ac_ra,6.557448443704373,4,20200117
CTXS,vwap_following,8.279151189103727,4,20200117
CTXS,rl_v3,5.896588531648635,4,20200117
FOXA,twap,-13.757245918239338,4,20200117
FOXA,ac_ra,-8.05695481585017,4,20200117
FOXA,vwap_following,-11.09555752436564,4,20200117
FOXA,rl_v3,-4.637640804965059,4,20200117
GILD,twap,29.795099516291312,4,20200117
GILD,ac_ra,12.305764808504662,4,20200117
GILD,vwap_following,26.727142970422967,4,20200117
GILD,rl_v3,9.544524621363761,4,20200117
INTU,twap,20.29388414907953,4,20200117
INTU,ac_ra,19.57679389313111,4,20200117
INTU,vwap_following,22.030103277950992,4,20200117
INTU,rl_v3,18.951594072736807,4,20200117
LRCX,twap,-26.243763036442225,4,20200117
LRCX,ac_ra,-18.062673477100727,4,20200117
LRCX,vwap_following,-22.504311265130777,4,20200117
LRCX,rl_v3,-15.40295958087495,4,20200117
PYPL,twap,20.529949761688197,4,20200117
PYPL,ac_ra,15.772424749876885,4,20200117
PYPL,vwap_following,21.131864828888222,4,20200117
PYPL,rl_v3,14.832667783069956,4,20200117
QQQ,twap,3.798074549498761,4,20200117
QQQ,ac_ra,2.397298085770344,4,20200117
QQQ,vwap_following,4.714077332196057,4,20200117
QQQ,rl_v3,1.8948407800615668,4,20200117
REGN,twap,2.0333441621771025,4,20200117
REGN,ac_ra,0.06671431355689457,4,20200117
REGN,vwap_following,1.6016633097260657,4,20200117
REGN,rl_v3,-3.0483269443201153,4,20200117
SGEN,twap,-27.773131548313458,4,20200117
SGEN,ac_ra,-8.697834691500987,4,20200117
SGEN,vwap_following,-25.634644935972894,4,20200117
SGEN,rl_v3,-5.3186495925439,4,20200117
TCOM,twap,-27.19734098018952,4,20200117
