window,ticker,strategy,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
open,CDW,rl_v4,152.24610027360362,-9.105722321746203,23.239451528022972,-3.271903019968752
open,CERN,twap,38.66200527703575,34.86869949017013,8.655954504051424,4.2328076773663845
open,CERN,ac_ra,41.97572559366675,38.183681680904776,13.483342753850328,4.908143051766323
open,CERN,vwap_following,45.75408970976118,41.963484608780725,12.005731216774393,7.526882145366867
open,CERN,pov_5pct_cap,45.75277044854892,41.962164845190046,12.006790911080358,7.5278767910327575
open,CERN,toth,45.75013192612252,41.95952531800681,12.004138867226484,7.525819521930811
open,CERN,rl_v4,43.43496042216441,39.64347219016763,13.723347378477516,7.393079906648251
open,CHKP,twap,51.72426343154088,27.03198693889965,9.69096688480553,3.8469165860465626
open,CHKP,ac_ra,27.037868284226075,2.284318530697696,12.29177992646881,4.75499207495377
open,CHKP,vwap_following,46.214124783363246,21.508171763189367,10.201547288208113,5.235726952854923
open,CHKP,pov_5pct_cap,46.214124783363246,21.508171763189367,10.201547288208113,5.235726952854923
open,CHKP,toth,46.214124783363246,21.508171763189367,10.201547288208113,5.235726952854923
open,CHKP,rl_v4,22.7528596187275,-2.011325808916032,15.005740392833289,5.58048340704198
open,CHTR,twap,105.80393921900001,63.327024927472294,12.802413582498506,4.558105437122138
open,CHTR,ac_ra,85.34150660939316,42.77674475644508,19.201886156306198,5.14276677561095
open,CHTR,vwap_following,100.52618807667236,58.026615796405835,13.956092232190164,7.459976555243545
open,CHTR,pov_5pct_cap,100.52104145670978,58.02144708141565,13.958106602416299,7.460375253171294
open,CHTR,toth,100.51663845484093,58.017025176956665,13.957853363202698,7.459205159258647
open,CHTR,rl_v4,88.22243965440815,45.67004597622446,18.280189856678813,4.017360552953413
open,CMCSA,twap,78.07738282478785,36.80893584701076,2.5009222298857856,1.4628139123555848
open,CMCSA,ac_ra,65.80476040683597,24.485267670381347,3.4053894409498078,1.5184146204626925
open,CMCSA,vwap_following,81.11334801300204,39.85752858466576,2.5777880182191786,5.7081782556369225
open,CMCSA,pov_5pct_cap,81.11334801300204,39.85752858466576,2.5777880182191786,5.7081782556369225
open,CMCSA,toth,81.11334801300204,39.85752858466576,2.5777880182191786,5.7081782556369225
open,CMCSA,rl_v4,58.264443745409324,16.91358842225209,4.677929713877331,-0.49106379171847553
open,COST,twap,-3.5602169981925376,-2.050584322950615,2.6646468113036974,1.7941214492181934
open,COST,ac_ra,2.8383034686863926,4.346970546145079,3.9580883140369814,2.217023370073055
open,COST,vwap_following,2.2305770179182023,3.739335807096295,3.195336438092415,2.564765139804101
open,COST,pov_5pct_cap,2.2305770179182023,3.739335807096295,3.195336438092415,2.564765139804101
open,COST,toth,2.2305770179182023,3.739335807096295,3.195336438092415,2.564765139804101
open,COST,rl_v4,5.492257109970108,7.000523680504404,6.74320471697199,3.348914399043197
open,CPRT,twap,143.59479209551117,58.83031787261164,8.901075982114497,1.5828072377033342
open,CPRT,ac_ra,106.94411280362267,21.86444500917662,12.716045589304276,-1.4855952541714568
open,CPRT,vwap_following,133.04477151090884,48.18956776451352,10.928325247671532,6.9912325393510315
open,CPRT,pov_5pct_cap,133.04250720460982,48.18728398532059,10.930203302037443,6.989142939843712
open,CPRT,toth,133.03437628653515,48.179083141854136,10.929457727451464,6.991068437957493
open,CPRT,rl_v4,104.80825442569358,19.710218381505268,15.623879555069653,4.299312544043206
open,CSCO,twap,0.37199391172092505,8.86422893188071,2.096785795750398,0.7118501533296205
open,CSCO,ac_ra,-17.580111618469736,-9.072630681244211,2.2656892682390173,1.4816176626914603
open,CSCO,vwap_following,-13.08736681887166,-4.5837013680522825,2.026584102207596,-0.5797231337590153
open,CSCO,pov_5pct_cap,-13.08736681887166,-4.5837013680522825,2.026584102207596,-0.5797231337590153
open,CSCO,toth,-13.08736681887166,-4.5837013680522825,2.026584102207596,-0.5797231337590153
open,CSCO,rl_v4,-21.76661593099992,-13.255579583661806,2.8077437692026788,1.7368830650149
open,CSGP,twap,-42.033325081995606,43.93860387213731,39.645250952679184,18.08678127523213
open,CSGP,ac_ra,-57.800343461850154,28.30657020504862,50.725107420208374,18.57534217628776
open,CSGP,vwap_following,-52.29596509684913,33.7638244458396,34.49429896777749,12.735018460215052
open,CSGP,pov_5pct_cap,-52.30922396187785,33.75067909270289,34.49621340622007,12.733990754511318
open,CSGP,toth,-110.61020174515768,-24.051171934303238,55.25539820892999,26.87527971648975
open,CSGP,rl_v4,-29.93150875673567,55.93681403919694,69.35409222688234,36.42288574777938
open,CSX,twap,-119.34279085183769,-30.40013507169612,6.984263895057284,4.430493145239948
open,CSX,ac_ra,-77.67053364269161,10.905849217840462,11.164850756042545,2.5248291597452472
open,CSX,vwap_following,-103.66151806430112,-14.856690804900778,7.758972332824194,15.404178038890102
open,CSX,pov_5pct_cap,-103.66151806430112,-14.856690804900778,7.758972332824194,15.404178038890102
open,CSX,toth,-103.66151806430112,-14.856690804900778,7.758972332824194,15.404178038890102
open,CSX,rl_v4,-65.53649320517275,22.93323907496469,12.68667367429807,12.343340755523407
open,CTAS,twap,28.46315346734035,59.8492251763505,18.607067202191267,8.9986619021292
open,CTAS,ac_ra,49.82257583989522,81.14141735434603,24.92731987106772,7.58695634244711
open,CTAS,vwap_following,39.92043602460604,71.27044517902033,29.49314266595592,16.44057203303056
open,CTAS,pov_5pct_cap,39.92043602460604,71.27044517902033,29.49314266595592,16.44057203303056
open,CTAS,toth,43.94223725486746,75.27958752392082,39.66237891283705,18.8201051371401
open,CTAS,rl_v4,61.368044724062756,92.65054611162144,35.54765965854181,14.907974805146834
open,CTSH,twap,-56.91163239074485,-1.6411029010916207,3.171977254325364,2.5876804738745376
open,CTSH,ac_ra,-47.67384318766451,7.545917485553698,5.347683905841415,4.633982507533474
open,CTSH,vwap_following,-56.21674164524562,-0.9500311191912577,3.471157749708905,0.22266241024136396
open,CTSH,pov_5pct_cap,-56.21674164524562,-0.9500311191912577,3.471157749708905,0.22266241024136396
open,CTSH,toth,-56.21272493573392,-0.9460364846136545,3.4717978750392966,0.22298262639574096
open,CTSH,rl_v4,-43.51783419023324,11.679085990172855,9.434724518589844,8.02087504077907
open,CTXS,twap,-46.1620135727151,11.16493695588768,9.431304306637262,5.267930403375985
open,CTXS,ac_ra,-37.65097500214973,19.62740853276704,18.663946029265837,11.379747654965474
open,CTXS,vwap_following,-43.12979984537475,14.179847800186266,12.981522947034865,9.030610588832479
open,CTXS,pov_5pct_cap,-43.13014345846676,14.179506147871983,12.980924718906923,9.030611305709408
open,CTXS,toth,-43.13323597628998,14.176431277048282,12.977587462989474,9.026967797121037
open,CTXS,rl_v4,-36.29722532427578,20.9734332365955,20.772664568566935,12.78624416550803
open,DLTR,twap,-14.162622158780641,-2.0861995981646135,5.667173917676811,3.065835825174498
open,DLTR,ac_ra,-9.565389261011658,2.505489338598565,7.661872712779902,3.5069307497147806
open,DLTR,vwap_following,-16.3687273525869,-4.289644373967017,6.584304123704421,1.2772423040014824
open,DLTR,pov_5pct_cap,-16.3687273525869,-4.289644373967017,6.584304123704421,1.2772423040014824
open,DLTR,toth,-16.37081365982251,-4.29172816525309,6.583645833487579,1.2763651466706152
open,DLTR,rl_v4,-6.630613813551202,5.436725639576056,7.292721739174359,4.2638881800692
open,EA,twap,8.948001068474557,9.52471449058034,5.946559174220342,2.8680424197140577
open,EA,ac_ra,19.342445018251986,19.91855844194501,8.018388978177107,1.8273618548285344
open,EA,vwap_following,11.480633959573872,12.057201190529643,6.282622755883029,-2.0907670157046416
open,EA,pov_5pct_cap,11.480633959573872,12.057201190529643,6.282622755883029,-2.0907670157046416
